modelo,ciclos,erro_hub_pct,json_valido_pct,reparado_pct,falha_parse_pct
gemma3:1b,297,0.0,96.6,2.0,3.4
qwen3.5:2b,201,5.5,0.0,0.5,100.0
llama3.2:latest,124,0.0,99.2,8.9,0.8
qwen2.5:0.5b,116,0.9,76.5,7.8,23.5
qwen3.5:2b-mlx,107,0.0,0.0,0.0,100.0
gemma3:4b,94,0.0,100.0,0.0,0.0
qwen3.5:4b,76,0.0,0.0,0.0,100.0
gemma4:12b,52,7.7,0.0,0.0,100.0
granite4.1:3b,38,23.7,96.6,0.0,3.4
smollm2:135m,36,100.0,,,
granite4.1:8b,29,0.0,100.0,3.4,0.0
qwen3.5:latest,15,100.0,,,
ornith:9b,3,66.7,0.0,0.0,100.0
ministral-3:8b,2,0.0,50.0,50.0,50.0
pdevine/lfm2.5:8b-a1b-q4_K_M,1,0.0,0.0,0.0,100.0
lfm2.5-thinking:latest,1,0.0,0.0,0.0,100.0
qwen3.5:0.8b,1,0.0,0.0,0.0,100.0