modelo,hardware,ciclos,resposta_bot_p50_ms,duracao_hub_p50_ms,overhead_infra_p50_ms,ttft_hub_p50_ms,tokens_s_bot_p50,tokens_s_hub_p50,tokens_entrada_p50,tokens_saida_p50
gemma3:1b,NVIDIA GeForce RTX 2050 / 16GB RAM,187,2443.0,2341.0,92.1,2341.0,49.37,52.55,1411.0,122.0
llama3.2:latest,Apple M2 / 8GB RAM,124,5728.7,5566.0,60.9,5566.0,18.01,18.34,1595.0,102.0
qwen2.5:0.5b,AMD Radeon(TM) Graphics / 7GB RAM,116,9691.4,9537.0,75.0,9537.0,11.92,12.08,1498.0,115.0
gemma3:1b,Apple M3 Pro / 18GB RAM,110,1715.5,1588.5,98.6,1588.5,54.52,60.09,1369.5,94.0
qwen3.5:2b-mlx,Apple M2 Pro / 16GB RAM,107,4831.3,4689.0,109.5,4689.0,52.99,54.60,1165.0,256.0
gemma3:4b,Apple M2 Pro / 16GB RAM,94,4216.6,4151.0,62.9,4151.0,25.20,25.80,1256.5,107.5
qwen3.5:2b,CPU only / 24GB RAM,77,14543.1,14480.0,57.7,14480.0,17.60,17.68,1241.0,256.0
qwen3.5:2b,Intel(R) Iris(R) Xe Graphics / 16GB RAM,60,37227.4,37087.5,63.8,37087.5,6.88,6.90,1242.0,256.0
gemma4:12b,Apple M3 Pro / 18GB RAM,52,19741.4,19642.0,100.0,19642.0,12.97,13.03,1186.5,256.0
qwen3.5:4b,NVIDIA GeForce RTX 2050 / 16GB RAM,50,22744.3,22647.0,77.8,22647.0,11.26,11.30,1168.0,256.0
granite4.1:3b,CPU only / 10GB RAM,38,24321.5,24052.0,114.1,24052.0,5.46,5.53,1299.0,132.0
smollm2:135m,Intel(R) Iris(R) Xe Graphics / 8GB RAM,36,,,,,,,,
qwen3.5:2b,Apple M3 Pro / 18GB RAM,30,5987.3,5743.0,182.6,5743.0,42.76,44.58,1021.0,256.0
granite4.1:8b,NVIDIA GeForce GTX 1650 / 14GB RAM,29,76753.0,76695.0,58.0,76695.0,2.17,2.17,1437.0,168.0
qwen3.5:4b,CPU only / 15GB RAM,26,99225.8,99190.5,71.4,99190.5,2.58,2.58,1230.5,256.0
qwen3.5:2b,CPU only / 16GB RAM,24,37423.2,37131.0,155.5,37131.0,6.84,6.90,1262.5,256.0
qwen3.5:latest,CPU only / 7GB RAM,15,,,,,,,,
qwen3.5:2b,CPU only / 10GB RAM,10,35657.9,35591.0,94.5,35591.0,7.18,7.19,1021.0,256.0
ornith:9b,CPU only / 10GB RAM,3,87575.1,81498.0,6077.1,81498.0,2.92,3.14,1176.0,256.0
ministral-3:8b,NVIDIA GeForce GTX 1650 / 14GB RAM,2,69874.7,69603.5,271.2,69603.5,3.66,3.68,994.5,251.5
pdevine/lfm2.5:8b-a1b-q4_K_M,CPU only / 18GB RAM,1,56797.2,56567.0,230.2,56567.0,4.51,4.53,1027.0,256.0
lfm2.5-thinking:latest,CPU only / 4GB RAM,1,14476.3,15100.0,-623.7,15100.0,17.68,16.95,1065.0,256.0
qwen3.5:0.8b,CPU only / 4GB RAM,1,36807.3,38331.0,-1523.7,38331.0,6.96,6.68,955.0,256.0